BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
000840002669,"ТОО ""ПРОМСЕРВИС - ОТАН""",52211,Эксплуатация железных дорог,552210000,г. Экибастуз,310,Крупное предприятие (от 501 до 1000 чел.)
010340001055,"ТОО ""KARAGANDA BI ENERGY PLUS""",33141,"Ремонт и техническое обслуживание электромоторов, генераторов и трансформаторов",552210000,г. Экибастуз,310,Крупное предприятие (от 501 до 1000 чел.)
020940003921,"ТОО ""БОГАТЫРЬ SECURITY""",80100,Деятельность частных охранных служб,552210000,г. Экибастуз,310,Крупное предприятие (от 501 до 1000 чел.)
030740003609,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""ПОЛИКЛИНИКА № 3 ГОРОДА ЭКИБАСТУЗА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ПАВЛОДАРСКОЙ ОБЛАСТИ, АКИМАТА ПАВЛОДАРСКОЙ ОБЛАСТИ",86210,Общая врачебная практика,552210000,г. Экибастуз,305,Крупная организация (от 251 до 500 чел.)
030841010908,"ФИЛИАЛ ТОО ""БОГАТЫРЬ ТРАНС""-ЭКИБАСТУЗСКОЕ ВАГОННОЕ ДЕПО""",33171,Ремонт подвижного состава железных дорог,552210000,г. Экибастуз,310,Крупное предприятие (от 501 до 1000 чел.)
031040003389,"ТОО ""ЭКИБАСТУЗТЕПЛОЭНЕРГОМОНТАЖ""",33121,Ремонт и техническое обслуживание механического оборудования,552210000,г. Экибастуз,305,Крупная организация (от 251 до 500 чел.)
040540005471,"ТОО ""БЕРЕКЕ 2004""",33171,Ремонт подвижного состава железных дорог,552210000,г. Экибастуз,305,Крупная организация (от 251 до 500 чел.)
040841007404,"Филиал АО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМIР ЖОЛЫ"" - ""ЕКИБАСТУЗСКОЕ ЭКСПЛУАТАЦИОННОЕ ВАГОННОЕ ДЕПО""",33171,Ремонт подвижного состава железных дорог,552210000,г. Экибастуз,311,Крупная компания (от 1001 чел.)
041141006805,"Филиал АО ""ЛОКОМОТИВНЫЙ СЕРВИСНЫЙ ЦЕНТР""- ""ЕКИБАСТУЗСКИЙ ЛОКОМОТИВНЫЙ СЕРВИСНЫЙ ЦЕНТР""",33171,Ремонт подвижного состава железных дорог,552210000,г. Экибастуз,305,Крупная организация (от 251 до 500 чел.)
050841001813,"Филиал АО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ""-""ЕКИБАСТУЗСКАЯ ДИСТАНЦИЯ ЭЛЕКТРОСНАБЖЕНИЯ""",35130,Распределение электроэнергии,552210000,г. Экибастуз,305,Крупная организация (от 251 до 500 чел.)
051041010241,"ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОКОМОТИВ 2030""-""ЛОКОМОТИВНОЕ ДЕПО ЭКИБАСТУЗ""",52211,Эксплуатация железных дорог,552210000,г. Экибастуз,310,Крупное предприятие (от 501 до 1000 чел.)
051240002906,"ТОО ""ЭКИБАСТУЗСКИЙ ЗАВОД ЭЛЕКТРИЧЕСКИХ МАШИН""",33125,Ремонт и техническое обслуживание прочих машин и оборудования специального назначения,552210000,г. Экибастуз,305,Крупная организация (от 251 до 500 чел.)
061140001916,"ТОО ""ПРОММАШКОМПЛЕКТ""",30200,Производство железнодорожных локомотивов и подвижного состава (без ремонта),552210000,г. Экибастуз,305,Крупная организация (от 251 до 500 чел.)
070341004378,"ФИЛИАЛ ЮРИДИЧЕСКОГО ЛИЦА АКЦИОНЕРНОГО ОБЩЕСТВА ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ"" -""ЕКИБАСТУЗСКАЯ ДИСТАНЦИЯ СИГНАЛИЗАЦИИ И СВЯЗИ""",61100,Проводная телекоммуникационная связь,552210000,г. Экибастуз,305,Крупная организация (от 251 до 500 чел.)
080740016808,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ"" ОТДЕЛА ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА, ПАССАЖИРСКОГО ТРАНСПОРТА И АВТОМОБИЛЬНЫХ ДОРОГ АКИМАТА ГОРОДА ЭКИБАСТУЗА""",36000,"Сбор, обработка и распределение воды",552210000,г. Экибастуз,310,Крупное предприятие (от 501 до 1000 чел.)
081240000320,"ТОО ""КАЗАХСТАНСКАЯ ВАГОНОСТРОИТЕЛЬНАЯ КОМПАНИЯ""",30200,Производство железнодорожных локомотивов и подвижного состава (без ремонта),552210000,г. Экибастуз,305,Крупная компания (от 251 до 500 чел.)
100240017933,"ТОО ""ПРОМУГОЛЬ - 2010""",46909,Оптовая торговля широким ассортиментом товаров без какой-либо конкретизации,552210000,г. Экибастуз,305,Крупная организация (от 251 до 500 чел.)
110941013983,"Филиал АО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ"" - ""УКРУПНЕННАЯ ЕКИБАСТУЗСКАЯ ДИСТАНЦИЯ ПУТИ""",42120,Строительство железных дорог и метро,552210000,г. Экибастуз,310,Крупная компания (от 501 до 1000 чел.)
120440013634,"ТОО ""АНГРЕНСОР ЭНЕРГО""",05101,Добыча каменного угля открытым способом,552210000,г. Экибастуз,305,Крупная компания (от 251 до 500 чел.)
130741021396,"ФИЛИАЛ АО ""ЛОКОМОТИВ""-""ЕКИБАСТУЗСКОЕ ЭКСПЛУАТАЦИОННОЕ ЛОКОМОТИВНОЕ ДЕПО""",49100,"Пассажирский железнодорожный транспорт, междугородний",552210000,г. Экибастуз,310,Крупное предприятие (от 501 до 1000 чел.)
131041013035,"ЭКИБАСТУЗСКИЙ ФИЛИАЛ ТОО ""КАЙСАР СЕКЬЮРИТИ СЕРВИС""",80100,Деятельность частных охранных служб,552210000,г. Экибастуз,305,Крупная организация (от 251 до 500 чел.)
941240000817,"ТОО ""ГРАНЬ""",33141,"Ремонт и техническое обслуживание электромоторов, генераторов и трансформаторов",552210000,г. Экибастуз,305,Крупная компания (от 251 до 500 чел.)
950540001002,"ТОО ""ГАММА""",05201,Добыча лигнита (бурого угля) открытым способом,552210000,г. Экибастуз,305,Крупная организация (от 251 до 500 чел.)
960840000532,"ТОО ""ЭКИБАСТУЗСКАЯ ГРЭС-1 ИМЕНИ БУЛАТА НУРЖАНОВА""",35111,Производство электроэнергии тепловыми электростанциями,552210000,г. Экибастуз,311,Крупная компания (от 1001 чел.)
960940000138,"АО ""ГОРЭЛЕКТРОСЕТЬ""",35130,Распределение электроэнергии,552210000,г. Экибастуз,305,Крупная организация (от 251 до 500 чел.)
970340000843,"ТОО ""БОГАТЫРЬ КОМИР""",05101,Добыча каменного угля открытым способом,552210000,г. Экибастуз,311,Крупная компания (от 1001 чел.)
970740002243,"ТОО ""ВЕРШИНА""",23611,Производство сборных железобетонных и бетонных конструкций и изделий,552210000,г. Экибастуз,310,Крупное предприятие (от 501 до 1000 чел.)
980141004122,"ФИЛИАЛ ""СЕВЕРНЫЕ МЕЖСИСТЕМНЫЕ ЭЛЕКТРИЧЕСКИЕ СЕТИ"" АКЦИОНЕРНОГО ОБЩЕСТВА ""КАЗАХСТАНСКАЯ КОМПАНИЯ ПО УПРАВЛЕНИЮ ЭЛЕКТРИЧЕСКИМИ СЕТЯМИ"" (KAZAKHSTAN ELECTRICITY GRID OPERATING COMPANY) ""KEGOC""",35130,Распределение электроэнергии,552210000,г. Экибастуз,305,Крупная организация (от 251 до 500 чел.)
980440001579,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ВНУТРЕННИХ ДЕЛ ГОРОДА ЭКИБАСТУЗА ДЕПАРТАМЕНТА ВНУТРЕННИХ ДЕЛ ПАВЛОДАРСКОЙ ОБЛАСТИ""",84240,Деятельность по обеспечению общественного порядка и безопасности,552210000,г. Экибастуз,305,Крупная организация (от 251 до 500 чел.)
981140000266,"ТОО ""ЭНЕРГОУПРАВЛЕНИЕ""",35130,Распределение электроэнергии,552210000,г. Экибастуз,305,Крупная организация (от 251 до 500 чел.)
990340004215,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""ПОЛИКЛИНИКА № 2 ГОРОДА ЭКИБАСТУЗА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ПАВЛОДАРСКОЙ ОБЛАСТИ, АКИМАТА ПАВЛОДАРСКОЙ ОБЛАСТИ",86210,Общая врачебная практика,552210000,г. Экибастуз,305,Крупная организация (от 251 до 500 чел.)
990340004295,"Коммунальное государственное предприятие на праве хозяйственного ведения ""ЭКИБАСТУЗСКИЙ РОДИЛЬНЫЙ ДОМ"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ПАВЛОДАРСКОЙ ОБЛАСТИ, АКИМАТА ПАВЛОДАРСКОЙ ОБЛАСТИ",86102,Деятельность родильных домов,552210000,г. Экибастуз,305,Крупная организация (от 251 до 500 чел.)
990340004532,"Коммунальное государственное предприятие на праве хозяйственного ведения ""ЭКИБАСТУЗСКАЯ ГОРОДСКАЯ БОЛЬНИЦА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ПАВЛОДАРСКОЙ ОБЛАСТИ, АКИМАТА ПАВЛОДАРСКОЙ ОБЛАСТИ",86101,Деятельность больниц широкого профиля и специализированных больниц,552210000,г. Экибастуз,310,Крупное предприятие (от 501 до 1000 чел.)
991140002432,"Коммунальное государственное предприятие на праве хозяйственного ведения ""ПОЛИКЛИНИКА № 1 ГОРОДА ЭКИБАСТУЗА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ПАВЛОДАРСКОЙ ОБЛАСТИ, АКИМАТА ПАВЛОДАРСКОЙ ОБЛАСТИ",86210,Общая врачебная практика,552210000,г. Экибастуз,305,Крупная организация (от 251 до 500 чел.)
