BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
000240002706,"ТОО ""ДОЧЕРНЯЯ ОРГАНИЗАЦИЯ КИТАЙСКОЙ НЕФТЯНОЙ ИНЖЕНЕРНО-СТРОИТЕЛЬНОЙ ГРУППЫ""",42219,Строительство прочих распределительных инженерных сооружений,751710000,"г. Алматы, МЕДЕУСКИЙ РАЙОН",311,от 1001 чел.
001140000590,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""КАЗАХАВТОДОР"" КОМИТЕТА АВТОМОБИЛЬНЫХ ДОРОГ МИНИСТЕРСТВА ТРАНСПОРТА И КОММУНИКАЦИЙ РЕСПУБЛИКИ КАЗАХСТАН",42110,Строительство дорог и автомагистралей,711310000,"г. Астана, РАЙОН ""САРЫАРКА""",311,от 1001 чел.
010740001371,"АО ""НГСК КАЗСТРОЙСЕРВИС""",42120,Строительство железных дорог и метро,751410000,"г. Алматы, БОСТАНДЫКСКИЙ РАЙОН",311,от 1001 чел.
020441006983,"АЛМАТИНСКИЙ ФИЛИАЛ №1 АКЦИОНЕРНОГО ОБЩЕСТВА ""НГСК КАЗСТРОЙСЕРВИС""",42219,Строительство прочих распределительных инженерных сооружений,751410000,"г. Алматы, БОСТАНДЫКСКИЙ РАЙОН",311,от 1001 чел.
030941002762,"ФИЛИАЛ ""СИЧИМ С.П.А., КАЗАХСТАН""",42211,Строительство нефтяных и газовых магистральных трубопроводов,231039300,Атырауская область ст. КАРАБАТАН,311,от 1001 чел.
050540008349,"ТОО ""МУНАЙГАЗКУРЫЛЫС""",42219,Строительство прочих распределительных инженерных сооружений,471010000,"Мангистауская область, г. АКТАУ",311,от 1001 чел.
050640000298,"ТОО ""КАЗАХДОРСТРОЙ""",42110,Строительство дорог и автомагистралей,151010000,"Актюбинская область, г. АКТОБЕ",311,от 1001 чел.
050840000334,"ТОО ""КОМПАНИЯ ""ЖОЛ ЖӨНДЕУШІ""",42110,Строительство дорог и автомагистралей,711110000,"г. Астана, РАЙОН ""АЛМАТЫ""",311,от 1001 чел.
051140000163,"ТОО ""КОРПОРАЦИЯ ""MAG""",42990,"Строительство прочих инженерных сооружений, не включенных в другие группировки",751410000,"г. Алматы, БОСТАНДЫКСКИЙ РАЙОН",311,от 1001 чел.
070941023564,"ЮЖНО-КАЗАХСТАНСКИЙ ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""НГСК КАЗСТРОЙСЕРВИС""",42219,Строительство прочих распределительных инженерных сооружений,511015100,"Южно-Казахстанская область, ЕНБЕКШИНСКИЙ РАЙОН",311,от 1001 чел.
081041016345,"ШЫМКЕНТСКИЙ ФИЛИАЛ №2 АКЦИОНЕРНОГО ОБЩЕСТВА ""НГСК КАЗСТРОЙСЕРВИС""",42219,Строительство прочих распределительных инженерных сооружений,515257100,"Южно-Казахстанская область, с. КАРАСУ",311,от 1001 чел.
091141018017,"ЖАМБЫЛСКИЙ ФИЛИАЛ ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЗАХДОРСТРОЙ""",42110,Строительство дорог и автомагистралей,315030100,"Жамбылская область, а. КУЛАН",311,от 1001 чел.
930940000312,"АО ""ТЕНГИЗНЕФТЕСТРОЙ""",42219,Строительство прочих распределительных инженерных сооружений,233620100,"Атырауская область, г. КУЛЬСАРЫ",311,от 1001 чел.
931240000200,"АО ""ТРАНССТРОЙМОСТ""",42219,Строительство прочих распределительных инженерных сооружений,191610000,"Алматинская область, г. КАПЧАГАЙ",311,от 1001 чел.
940640001420,"ТОО ""АРИАДНА""",42219,Строительство прочих распределительных инженерных сооружений,233620100,"Атырауская область, г. КУЛЬСАРЫ",311,от 1001 чел.
БИН,Наименование компании,ОКЭД,Вид деятельности предприятия,КАТО,Населённый пункт,КРП,Количество работников в организации
030140002252,"ТОО ""ТЕМІРЖОЛ ЖӨНДЕУ""",43999,"Прочие строительные работы, требующие специальных профессий",711210000,"г. Астана, РАЙОН ""ЕСИЛЬ""",311,от 1001 чел.
070740008082,"ТОО ""БАСТАУ-S""",43999,"Прочие строительные работы, требующие специальных профессий",431010000,"Кызылординская область, г. КЫЗЫЛОРДА",311,от 1001 чел.
940440000613,"АО ""АЛМАТЫМЕТРОКУРЫЛЫС""",43991,Строительство шахт,751710000,"г. Алматы, МЕДЕУСКИЙ РАЙОН",311,от 1001 чел.
БИН,Наименование компании,ОКЭД,Вид деятельности предприятия,КАТО,Населённый пункт,КРП,Количество работников в организации
001040003175,"АО ""РУДНЫЙСОКОЛОВСТРОЙ""",41202,Строительство нежилых зданий,392410000,"Костанайская область, г. РУДНЫЙ",311,от 1001 чел.
